id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
7624845,https://images.pexels.com/photos/7624845/pexels-photo-7624845.jpeg,https://images.pexels.com/photos/7624845/pexels-photo-7624845.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7624845/pexels-photo-7624845.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7624845/pexels-photo-7624845.jpeg?auto=compress&cs=tinysrgb&h=130,6000,4000,"PNW Production",https://www.pexels.com/@pnw-prod,"Diverse group of friends hiking together, planning their adventure in a lush forest.","ski trail map"
7634707,https://images.pexels.com/photos/7634707/pexels-photo-7634707.jpeg,https://images.pexels.com/photos/7634707/pexels-photo-7634707.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7634707/pexels-photo-7634707.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7634707/pexels-photo-7634707.jpeg?auto=compress&cs=tinysrgb&h=130,4000,2667,"Marina Leonova",https://www.pexels.com/@marina-zasorina,"A person studies a roadmap placed on a rock, embraced by natural sunlight outdoors.","ski trail map"
1973293,https://images.pexels.com/photos/1973293/pexels-photo-1973293.jpeg,https://images.pexels.com/photos/1973293/pexels-photo-1973293.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/1973293/pexels-photo-1973293.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/1973293/pexels-photo-1973293.jpeg?auto=compress&cs=tinysrgb&h=130,3902,2635,"Evgenia Kirpichnikova",https://www.pexels.com/@evgenia-kirpichnikova-1007758,"Snowboarder performing a high jump in a picturesque snow-covered mountain landscape during the day.","ski trail map"
356808,https://images.pexels.com/photos/356808/pexels-photo-356808.jpeg,https://images.pexels.com/photos/356808/pexels-photo-356808.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/356808/pexels-photo-356808.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/356808/pexels-photo-356808.jpeg?auto=compress&cs=tinysrgb&h=130,5888,3925,"Daniel Frank",https://www.pexels.com/@fr3nks,"A woman in winter clothing holds a hand and walks on a scenic snow-covered mountain deck in Zell am See.","ski trail map"
793088,https://images.pexels.com/photos/793088/pexels-photo-793088.jpeg,https://images.pexels.com/photos/793088/pexels-photo-793088.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/793088/pexels-photo-793088.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/793088/pexels-photo-793088.jpeg?auto=compress&cs=tinysrgb&h=130,5616,3744,"Francesco Paggiaro",https://www.pexels.com/@paggiarofrancesco,"A close-up of a person holding a detailed route map outdoors, ideal for travel and exploration themes.","ski trail map"
2016572,https://images.pexels.com/photos/2016572/pexels-photo-2016572.jpeg,https://images.pexels.com/photos/2016572/pexels-photo-2016572.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/2016572/pexels-photo-2016572.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/2016572/pexels-photo-2016572.jpeg?auto=compress&cs=tinysrgb&h=130,3222,4027,"Gustav Lundborg",https://www.pexels.com/@gustavlundborg,"Skier enjoying a sunny winter day in a snowy forest in Sweden.","ski trail map"
290452,https://images.pexels.com/photos/290452/pexels-photo-290452.jpeg,https://images.pexels.com/photos/290452/pexels-photo-290452.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/290452/pexels-photo-290452.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/290452/pexels-photo-290452.jpeg?auto=compress&cs=tinysrgb&h=130,3000,2000,"Pixabay",https://www.pexels.com/@pixabay,"Breathtaking snowy mountain with clear skies, ideal for winter sports and adventure.","ski trail map"
7009832,https://images.pexels.com/photos/7009832/pexels-photo-7009832.jpeg,https://images.pexels.com/photos/7009832/pexels-photo-7009832.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7009832/pexels-photo-7009832.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7009832/pexels-photo-7009832.jpeg?auto=compress&cs=tinysrgb&h=130,4000,6000,"Tima Miroshnichenko",https://www.pexels.com/@tima-miroshnichenko,"Woman in winter clothing preparing for hiking with backpack and camera, standing indoors.","ski trail map"
17277447,https://images.pexels.com/photos/17277447/pexels-photo-17277447.jpeg,https://images.pexels.com/photos/17277447/pexels-photo-17277447.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/17277447/pexels-photo-17277447.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/17277447/pexels-photo-17277447.jpeg?auto=compress&cs=tinysrgb&h=130,3565,5380,"Marek Piwnicki",https://www.pexels.com/@marek-piwnicki-3907296,"Night view of a snow-covered ski slope under a starry sky in the Dolomites, Italy.","ski trail map"
10433254,https://images.pexels.com/photos/10433254/pexels-photo-10433254.jpeg,https://images.pexels.com/photos/10433254/pexels-photo-10433254.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/10433254/pexels-photo-10433254.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/10433254/pexels-photo-10433254.jpeg?auto=compress&cs=tinysrgb&h=130,5928,3952,"Ron Lach",https://www.pexels.com/@ron-lach,"Teen camping with binoculars and a map, exploring the outdoors in summer.","ski trail map"
