id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
9119726,"https://images.pexels.com/photos/9119726/pexels-photo-9119726.jpeg","https://images.pexels.com/photos/9119726/pexels-photo-9119726.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/9119726/pexels-photo-9119726.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/9119726/pexels-photo-9119726.jpeg?auto=compress&cs=tinysrgb&h=130",5923,3954,"Pavel Danilyuk","https://www.pexels.com/@pavel-danilyuk","Elegantly lined sun loungers by the resort's poolside, creating a serene vacation vibe.","hotel pool mountain"
6130049,"https://images.pexels.com/photos/6130049/pexels-photo-6130049.jpeg","https://images.pexels.com/photos/6130049/pexels-photo-6130049.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6130049/pexels-photo-6130049.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6130049/pexels-photo-6130049.jpeg?auto=compress&cs=tinysrgb&h=130",11006,4835,"Quang Nguyen Vinh","https://www.pexels.com/@quang-nguyen-vinh-222549","Relaxing poolside area at a tropical resort with stunning mountain views.","hotel pool mountain"
32398175,"https://images.pexels.com/photos/32398175/pexels-photo-32398175.jpeg","https://images.pexels.com/photos/32398175/pexels-photo-32398175.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398175/pexels-photo-32398175.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398175/pexels-photo-32398175.jpeg?auto=compress&cs=tinysrgb&h=130",8064,4536,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","Stunning aerial view of a secluded tropical beach with lush palm trees in Sri Lanka.","hotel pool mountain"
32398217,"https://images.pexels.com/photos/32398217/pexels-photo-32398217.jpeg","https://images.pexels.com/photos/32398217/pexels-photo-32398217.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398217/pexels-photo-32398217.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398217/pexels-photo-32398217.jpeg?auto=compress&cs=tinysrgb&h=130",8064,4536,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","Aerial shot of a man floating peacefully in a resort pool surrounded by lush greenery, Sri Lanka.","hotel pool mountain"
32398193,"https://images.pexels.com/photos/32398193/pexels-photo-32398193.jpeg","https://images.pexels.com/photos/32398193/pexels-photo-32398193.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398193/pexels-photo-32398193.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398193/pexels-photo-32398193.jpeg?auto=compress&cs=tinysrgb&h=130",8064,4536,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","Stunning aerial shot of a Sri Lankan street at night showcasing a vibrant urban landscape.","hotel pool mountain"
32398174,"https://images.pexels.com/photos/32398174/pexels-photo-32398174.jpeg","https://images.pexels.com/photos/32398174/pexels-photo-32398174.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398174/pexels-photo-32398174.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398174/pexels-photo-32398174.jpeg?auto=compress&cs=tinysrgb&h=130",8064,4536,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","A tranquil aerial shot captures a person resting on a sandy beach by the ocean in Sri Lanka.","hotel pool mountain"
32398207,"https://images.pexels.com/photos/32398207/pexels-photo-32398207.jpeg","https://images.pexels.com/photos/32398207/pexels-photo-32398207.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398207/pexels-photo-32398207.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398207/pexels-photo-32398207.jpeg?auto=compress&cs=tinysrgb&h=130",7663,4310,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","Aerial view of a person standing in a jungle stream surrounded by lush green foliage in Sri Lanka.","hotel pool mountain"
6130060,"https://images.pexels.com/photos/6130060/pexels-photo-6130060.jpeg","https://images.pexels.com/photos/6130060/pexels-photo-6130060.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6130060/pexels-photo-6130060.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6130060/pexels-photo-6130060.jpeg?auto=compress&cs=tinysrgb&h=130",11813,4232,"Quang Nguyen Vinh","https://www.pexels.com/@quang-nguyen-vinh-222549","Small cozy hotel in south eastern style with swimming pool and deckchairs in tropical resort","hotel pool mountain"
9290787,"https://images.pexels.com/photos/9290787/pexels-photo-9290787.jpeg","https://images.pexels.com/photos/9290787/pexels-photo-9290787.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/9290787/pexels-photo-9290787.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/9290787/pexels-photo-9290787.jpeg?auto=compress&cs=tinysrgb&h=130",6784,4527,"Jordan Wollman","https://www.pexels.com/@jordanwollman","Elegant resort poolside view in Scottsdale, AZ, emphasizing relaxation and luxury.","hotel pool mountain"
32398171,"https://images.pexels.com/photos/32398171/pexels-photo-32398171.jpeg","https://images.pexels.com/photos/32398171/pexels-photo-32398171.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32398171/pexels-photo-32398171.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32398171/pexels-photo-32398171.jpeg?auto=compress&cs=tinysrgb&h=130",8064,4536,"Eslam Mohammed Abdelmaksoud","https://www.pexels.com/@eslames1","A picturesque aerial view of the Sri Lankan coastline with lush greenery and waves crashing against the shore.","hotel pool mountain"
